2024-03-23 18:37:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:41:14 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:42:26 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:42:49 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:43:14 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:43:53 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:44:38 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:45:16 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:45:17 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:45:37 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:47:02 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:50:20 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:50:40 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:51:04 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:53:18 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:55:46 INFO  AdvertisementController:40 - Advertisement get
2024-03-23 18:55:48 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 11:44:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 11:48:45 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:06:01 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:06:03 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:06:05 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:06:07 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:07:54 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:08:25 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:10:23 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:10:28 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:11:24 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:11:39 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:13:10 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:13:49 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:14:46 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:16:32 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:18:51 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:19:24 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:20:34 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:25:54 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:26:22 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 14:26:53 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:17:26 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:18:37 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:19:14 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:37:33 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:42:21 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:52:48 INFO  AdvertisementController:40 - Advertisement get
2024-03-24 15:52:52 INFO  AdvertisementController:40 - Advertisement get
